ciudad,genero,area,salario,edad,antiguedad,nivel_educativo,estado_civil,hijos,turno,satisfaccion_laboral
Bello,Masculino,Operativos,2637717.2,29,35,Tecnólogo,Soltero,0,Nocturno,6.5
Itagüí,Femenino,Operativos,5700387.95,50,40,Profesional,Soltero,0,Mixto,7.3
Envigado,No Binario,Operativos,2414700.54,42,0,Primaria,Divorciado,1,Mixto,5.7
Itagüí,Femenino,Operativos,4786500.55,45,39,Técnico,Casado,0,Nocturno,5.6
Itagüí,Femenino,Operativos,3479766.02,37,31,Posgrado,Divorciado,4,Nocturno,2.8
Sabaneta,Femenino,Operativos,3405067.47,38,30,Tecnólogo,Divorciado,2,Diurno,3.4
Envigado,Masculino,Administrativa,7143815.54,62,24,Profesional,Soltero,3,Diurno,7.8
Envigado,Femenino,Administrativa,7421897.47,37,17,Secundaria,Viudo,0,Mixto,1.5
Sabaneta,Femenino,Operativos,3095177.09,35,39,Secundaria,Soltero,0,Diurno,6.3
Sabaneta,Femenino,Operativos,5596255.83,54,40,Técnico,Unión Libre,2,Mixto,9.9
Medellín,Femenino,Servicios Generales,2705096.97,53,21,Técnico,Viudo,3,Diurno,9.0
Itagüí,No Binario,Operativos,3838365.36,49,25,Tecnólogo,Unión Libre,2,Diurno,6.3
Estrella,Femenino,Operativos,3031936.89,32,6,Posgrado,Soltero,2,Mixto,6.5
Itagüí,Masculino,Servicios Generales,3028360.44,24,33,Técnico,Viudo,4,Diurno,1.1
Itagüí,Femenino,Operativos,4400015.33,53,22,Posgrado,Divorciado,4,Diurno,3.3
Envigado,Femenino,Servicios Generales,3088493.72,47,26,Técnico,Divorciado,3,Mixto,1.4
Envigado,Femenino,Servicios Generales,3622286.73,22,6,Secundaria,Divorciado,0,Diurno,3.0
Estrella,Femenino,Servicios Generales,2948117.07,49,5,Tecnólogo,Soltero,1,Nocturno,3.5
Sabaneta,Femenino,Operativos,3548609.91,38,30,Tecnólogo,Viudo,2,Mixto,5.0
Bello,No Binario,Operativos,4276052.25,18,32,Secundaria,Viudo,0,Diurno,2.2
Sabaneta,No Binario,Operativos,3052696.22,34,29,Tecnólogo,Divorciado,2,Mixto,5.4
Itagüí,Masculino,Servicios Generales,2156880.92,60,30,Secundaria,Divorciado,1,Mixto,4.6
Estrella,Femenino,Operativos,4950909.89,22,25,Secundaria,Divorciado,1,Mixto,5.3
Medellín,Masculino,Operativos,5357792.62,33,9,Profesional,Unión Libre,0,Mixto,5.4
Envigado,Masculino,Operativos,5864971.58,33,28,Primaria,Divorciado,1,Nocturno,1.8
Estrella,No Binario,Operativos,5281198.62,18,31,Profesional,Soltero,2,Mixto,3.8
Envigado,Femenino,Administrativa,6826756.51,61,1,Secundaria,Divorciado,0,Mixto,8.7
Sabaneta,Femenino,Operativos,5960559.56,27,24,Técnico,Viudo,3,Diurno,4.7
