fecha,codigo_tienda,nombre_tienda,vendedor,codigo_producto,nombre_producto,cantidad,valor_unitario,total,descuento
2025-08-05,4,Tienda D,Vendedor 6,P436,Producto 436,2,180.78,361.56,0.0
2025-03-19,1,Tienda A,Vendedor 8,P279,Producto 279,1,54.33,54.33,8.15
2025-07-08,9,Tienda I,Vendedor 1,P243,Producto 243,3,145.23,435.69,21.78
2025-04-18,4,Tienda D,Vendedor 9,P192,Producto 192,4,59.82,239.28,0.0
2025-04-15,8,Tienda H,Vendedor 3,P190,Producto 190,3,52.11,156.33,23.45
2025-01-30,6,Tienda F,Vendedor 9,P491,Producto 491,3,144.22,432.66,0.0
2025-10-25,2,Tienda B,Vendedor 1,P255,Producto 255,2,142.78,285.56,0.0
2025-02-06,7,Tienda G,Vendedor 9,P305,Producto 305,1,63.33,63.33,0.0
2025-11-05,6,Tienda F,Vendedor 1,P130,Producto 130,4,92.89,371.56,55.73
2025-08-28,5,Tienda E,Vendedor 3,P123,Producto 123,5,93.31,466.55,69.98
2025-08-10,5,Tienda E,Vendedor 4,P290,Producto 290,2,90.58,181.16,18.12
2025-03-03,9,Tienda I,Vendedor 7,P147,Producto 147,5,51.79,258.95,38.84
2025-08-01,8,Tienda H,Vendedor 4,P229,Producto 229,1,96.12,96.12,4.81
2025-10-22,8,Tienda H,Vendedor 3,P375,Producto 375,3,129.5,388.5,58.27
2025-01-20,10,Tienda J,Vendedor 7,P324,Producto 324,2,32.76,65.52,6.55
2025-09-25,2,Tienda B,Vendedor 4,P321,Producto 321,1,112.18,112.18,11.22
2025-05-14,8,Tienda H,Vendedor 4,P310,Producto 310,5,194.09,970.45,145.57
2025-01-06,2,Tienda B,Vendedor 6,P423,Producto 423,1,153.18,153.18,22.98
2025-09-07,1,Tienda A,Vendedor 8,P183,Producto 183,4,148.14,592.56,59.26
2025-08-22,4,Tienda D,Vendedor 6,P485,Producto 485,1,92.9,92.9,0.0
2025-04-27,8,Tienda H,Vendedor 4,P085,Producto 85,1,133.78,133.78,6.69
2025-10-19,10,Tienda J,Vendedor 2,P140,Producto 140,4,112.54,450.16,0.0
2025-07-10,9,Tienda I,Vendedor 3,P201,Producto 201,5,151.47,757.35,75.73
2025-09-09,9,Tienda I,Vendedor 5,P085,Producto 85,1,133.78,133.78,6.69
2025-11-03,2,Tienda B,Vendedor 7,P478,Producto 478,1,69.8,69.8,0.0
2025-05-11,4,Tienda D,Vendedor 3,P490,Producto 490,5,97.03,485.15,48.52
2025-03-11,5,Tienda E,Vendedor 3,P335,Producto 335,5,25.81,129.05,0.0
2025-04-28,5,Tienda E,Vendedor 4,P462,Producto 462,4,59.5,238.0,35.7
2025-09-30,1,Tienda A,Vendedor 8,P415,Producto 415,1,88.64,88.64,13.3
2025-05-23,3,Tienda C,Vendedor 9,P036,Producto 36,4,164.02,656.08,0.0
2025-09-04,6,Tienda F,Vendedor 4,P113,Producto 113,1,180.88,180.88,0.0
2025-03-05,4,Tienda D,Vendedor 2,P322,Producto 322,2,99.5,199.0,0.0
2025-11-20,1,Tienda A,Vendedor 10,P405,Producto 405,2,137.84,275.68,13.78
2025-04-08,5,Tienda E,Vendedor 9,P147,Producto 147,2,51.79,103.58,5.18
2025-09-02,3,Tienda C,Vendedor 3,P128,Producto 128,2,112.08,224.16,0.0
2025-06-10,7,Tienda G,Vendedor 9,P196,Producto 196,4,156.95,627.8,94.17
2025-12-08,2,Tienda B,Vendedor 8,P453,Producto 453,3,126.53,379.59,18.98
2025-08-18,10,Tienda J,Vendedor 8,P053,Producto 53,3,171.31,513.93,77.09
2025-09-22,8,Tienda H,Vendedor 10,P491,Producto 491,3,144.22,432.66,43.27
2025-04-22,1,Tienda A,Vendedor 7,P221,Producto 221,3,155.29,465.87,46.59
2025-12-23,3,Tienda C,Vendedor 9,P376,Producto 376,2,30.3,60.6,3.03
2025-03-04,9,Tienda I,Vendedor 2,P256,Producto 256,4,56.97,227.88,0.0
2025-11-10,5,Tienda E,Vendedor 4,P194,Producto 194,5,84.95,424.75,0.0
2025-12-18,7,Tienda G,Vendedor 10,P269,Producto 269,1,70.16,70.16,10.52
2025-02-26,8,Tienda H,Vendedor 8,P216,Producto 216,3,35.27,105.81,15.87
2025-01-17,1,Tienda A,Vendedor 4,P146,Producto 146,2,75.49,150.98,7.55
2025-03-31,5,Tienda E,Vendedor 7,P117,Producto 117,5,83.47,417.35,62.6
2025-10-24,10,Tienda J,Vendedor 9,P236,Producto 236,4,197.88,791.52,39.58
2025-08-25,10,Tienda J,Vendedor 9,P365,Producto 365,1,110.16,110.16,16.52
2025-12-02,2,Tienda B,Vendedor 3,P365,Producto 365,2,110.16,220.32,11.02
2025-08-06,1,Tienda A,Vendedor 6,P082,Producto 82,1,156.16,156.16,15.62
2025-08-29,3,Tienda C,Vendedor 5,P184,Producto 184,3,183.51,550.53,27.53
2025-07-01,10,Tienda J,Vendedor 6,P016,Producto 16,2,67.47,134.94,20.24
2025-08-26,2,Tienda B,Vendedor 7,P443,Producto 443,1,129.2,129.2,0.0
2025-07-31,10,Tienda J,Vendedor 6,P024,Producto 24,3,126.77,380.31,57.05
2025-12-17,8,Tienda H,Vendedor 9,P077,Producto 77,5,54.58,272.9,40.93
2025-08-04,2,Tienda B,Vendedor 2,P279,Producto 279,1,54.33,54.33,2.72
2025-04-03,8,Tienda H,Vendedor 4,P394,Producto 394,2,184.26,368.52,36.85
2025-06-26,6,Tienda F,Vendedor 10,P307,Producto 307,2,87.62,175.24,17.52
2025-07-13,3,Tienda C,Vendedor 1,P344,Producto 344,5,29.29,146.45,7.32
2025-04-27,10,Tienda J,Vendedor 9,P490,Producto 490,4,97.03,388.12,58.22
2025-06-07,6,Tienda F,Vendedor 2,P363,Producto 363,4,68.4,273.6,13.68
2025-05-27,7,Tienda G,Vendedor 8,P219,Producto 219,1,173.36,173.36,0.0
2025-10-12,4,Tienda D,Vendedor 5,P348,Producto 348,2,150.97,301.94,15.1
2025-10-08,10,Tienda J,Vendedor 8,P275,Producto 275,5,144.78,723.9,72.39
2025-03-10,5,Tienda E,Vendedor 2,P280,Producto 280,5,99.36,496.8,49.68
2025-02-17,9,Tienda I,Vendedor 1,P153,Producto 153,3,81.56,244.68,24.47
2025-07-06,8,Tienda H,Vendedor 3,P040,Producto 40,5,68.88,344.4,34.44
2025-03-12,3,Tienda C,Vendedor 1,P184,Producto 184,1,183.51,183.51,0.0
2025-09-03,3,Tienda C,Vendedor 7,P170,Producto 170,3,189.21,567.63,0.0
2025-06-11,1,Tienda A,Vendedor 7,P041,Producto 41,5,66.14,330.7,33.07
2025-08-16,3,Tienda C,Vendedor 6,P038,Producto 38,2,64.95,129.9,19.48
2025-02-16,1,Tienda A,Vendedor 8,P453,Producto 453,5,126.53,632.65,31.63
2025-10-10,2,Tienda B,Vendedor 7,P347,Producto 347,5,92.59,462.95,69.44
2025-09-25,4,Tienda D,Vendedor 5,P400,Producto 400,4,71.9,287.6,28.76
2025-07-22,9,Tienda I,Vendedor 9,P488,Producto 488,4,143.77,575.08,57.51
2025-10-26,3,Tienda C,Vendedor 7,P409,Producto 409,2,146.35,292.7,14.63
2025-05-05,5,Tienda E,Vendedor 2,P233,Producto 233,4,61.82,247.28,0.0
2025-10-14,4,Tienda D,Vendedor 1,P168,Producto 168,1,152.49,152.49,15.25
2025-01-04,7,Tienda G,Vendedor 7,P012,Producto 12,2,161.92,323.84,0.0
2025-08-28,9,Tienda I,Vendedor 9,P389,Producto 389,1,141.03,141.03,0.0
2025-10-08,2,Tienda B,Vendedor 5,P393,Producto 393,4,142.99,571.96,0.0
2025-02-16,6,Tienda F,Vendedor 8,P194,Producto 194,3,84.95,254.85,0.0
2025-03-18,2,Tienda B,Vendedor 8,P176,Producto 176,1,84.04,84.04,4.2
2025-06-01,7,Tienda G,Vendedor 5,P223,Producto 223,4,52.16,208.64,10.43
2025-04-24,9,Tienda I,Vendedor 7,P271,Producto 271,5,163.88,819.4,81.94
2025-11-27,3,Tienda C,Vendedor 8,P400,Producto 400,4,71.9,287.6,0.0
2025-05-27,2,Tienda B,Vendedor 9,P077,Producto 77,1,54.58,54.58,8.19
2025-03-26,8,Tienda H,Vendedor 4,P423,Producto 423,3,153.18,459.54,68.93
2025-02-21,5,Tienda E,Vendedor 7,P219,Producto 219,3,173.36,520.08,52.01
2025-09-01,9,Tienda I,Vendedor 7,P250,Producto 250,3,39.49,118.47,17.77
2025-06-19,4,Tienda D,Vendedor 2,P478,Producto 478,1,69.8,69.8,10.47
2025-05-31,6,Tienda F,Vendedor 2,P037,Producto 37,5,35.85,179.25,0.0
2025-03-18,4,Tienda D,Vendedor 4,P107,Producto 107,4,94.45,377.8,56.67
2025-10-11,2,Tienda B,Vendedor 8,P137,Producto 137,1,193.8,193.8,0.0
2025-02-03,7,Tienda G,Vendedor 3,P453,Producto 453,1,126.53,126.53,12.65
2025-02-12,3,Tienda C,Vendedor 8,P052,Producto 52,3,192.32,576.96,86.54
2025-06-23,5,Tienda E,Vendedor 8,P338,Producto 338,5,169.48,847.4,127.11
2025-04-20,10,Tienda J,Vendedor 2,P167,Producto 167,2,72.46,144.92,7.25
2025-09-15,5,Tienda E,Vendedor 3,P349,Producto 349,5,97.2,486.0,72.9
2025-12-12,9,Tienda I,Vendedor 3,P396,Producto 396,1,189.42,189.42,0.0
